2025-06-01T21:42:13.249+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:42:33.536+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:42:45.783+05:30 INFO  [ebook-app] [SpringApplicationShutdownHook] o.s.b.w.embedded.tomcat.GracefulShutdown:54 : Commencing graceful shutdown. Waiting for active requests to complete
2025-06-01T21:42:45.835+05:30 INFO  [ebook-app] [tomcat-shutdown] o.s.b.w.embedded.tomcat.GracefulShutdown:76 : Graceful shutdown complete
2025-06-01T21:42:53.826+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:43:11.217+05:30 INFO  [ebook-app] [main] com.aws.spring.ebook.EbookApplication:53 : Starting EbookApplication using Java 17.0.11 with PID 16964 (C:\Users\sanja\sts-workplace\springboot-aws-ebook\target\classes started by sanja in C:\Users\sanja\sts-workplace\springboot-aws-ebook)
2025-06-01T21:43:11.222+05:30 INFO  [ebook-app] [main] com.aws.spring.ebook.EbookApplication:652 : No active profile set, falling back to 1 default profile: "default"
2025-06-01T21:43:13.140+05:30 INFO  [ebook-app] [main] o.s.b.w.embedded.tomcat.TomcatWebServer:111 : Tomcat initialized with port 8080 (http)
2025-06-01T21:43:13.154+05:30 INFO  [ebook-app] [main] o.apache.coyote.http11.Http11NioProtocol:173 : Initializing ProtocolHandler ["http-nio-8080"]
2025-06-01T21:43:13.157+05:30 INFO  [ebook-app] [main] o.apache.catalina.core.StandardService:173 : Starting service [Tomcat]
2025-06-01T21:43:13.158+05:30 INFO  [ebook-app] [main] org.apache.catalina.core.StandardEngine:173 : Starting Servlet engine: [Apache Tomcat/10.1.33]
2025-06-01T21:43:13.263+05:30 INFO  [ebook-app] [main] o.a.c.c.C.[.[localhost].[/ebookservice]:173 : Initializing Spring embedded WebApplicationContext
2025-06-01T21:43:13.265+05:30 INFO  [ebook-app] [main] o.s.b.w.s.c.ServletWebServerApplicationContext:296 : Root WebApplicationContext: initialization completed in 1940 ms
2025-06-01T21:43:15.324+05:30 INFO  [ebook-app] [main] o.apache.coyote.http11.Http11NioProtocol:173 : Starting ProtocolHandler ["http-nio-8080"]
2025-06-01T21:43:15.352+05:30 INFO  [ebook-app] [main] o.s.b.w.embedded.tomcat.TomcatWebServer:243 : Tomcat started on port 8080 (http) with context path '/ebookservice'
2025-06-01T21:43:15.370+05:30 INFO  [ebook-app] [main] com.aws.spring.ebook.EbookApplication:59 : Started EbookApplication in 4.967 seconds (process running for 5.565)
2025-06-01T21:43:33.820+05:30 INFO  [ebook-app] [http-nio-8080-exec-1] o.a.c.c.C.[.[localhost].[/ebookservice]:173 : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-01T21:43:33.820+05:30 INFO  [ebook-app] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet:532 : Initializing Servlet 'dispatcherServlet'
2025-06-01T21:43:33.822+05:30 INFO  [ebook-app] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet:554 : Completed initialization in 1 ms
2025-06-01T21:43:36.673+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:43:50.678+05:30 INFO  [ebook-app] [SpringApplicationShutdownHook] o.s.b.w.embedded.tomcat.GracefulShutdown:54 : Commencing graceful shutdown. Waiting for active requests to complete
2025-06-01T21:43:50.725+05:30 INFO  [ebook-app] [tomcat-shutdown] o.s.b.w.embedded.tomcat.GracefulShutdown:76 : Graceful shutdown complete
2025-06-01T21:43:57.006+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
